Anther,Sepal,Ovary,Pod,Stigma,Flower,Leaf
GLYMA_08G213800,GLYMA_02G081800,GLYMA_08G354000,GLYMA_04G047100,GLYMA_07G266000,GLYMA_12G053200,GLYMA_12G087100
GLYMA_01G015300,GLYMA_03G201600,GLYMA_19G193700,GLYMA_04G072800,GLYMA_08G060200,GLYMA_01G007200,GLYMA_05G197600
GLYMA_11G090800,GLYMA_07G132000,GLYMA_07G224600,GLYMA_06G019800,GLYMA_13G288300,GLYMA_19G222200,GLYMA_05G160900
GLYMA_12G078000,GLYMA_11G029500,GLYMA_13G308700,GLYMA_02G147400,GLYMA_13G315400,GLYMA_04G003200,GLYMA_07G207200
GLYMA_01G186800,GLYMA_05G144700,GLYMA_19G190200,GLYMA_17G083100,GLYMA_14G052200,GLYMA_18G234400,GLYMA_07G234300
GLYMA_09G110600,GLYMA_11G178200,GLYMA_12G052600,GLYMA_04G176500,GLYMA_09G066200,GLYMA_10G288000,GLYMA_14G116200
GLYMA_09G165600,GLYMA_13G076300,GLYMA_03G060300,GLYMA_10G056600,GLYMA_01G232100,GLYMA_05G037700,GLYMA_18G165700
GLYMA_18G241900,GLYMA_15G143100,GLYMA_07G016700,GLYMA_12G135200,GLYMA_19G041200,GLYMA_11G041800,GLYMA_07G108100
GLYMA_10G265400,GLYMA_01G201000,GLYMA_10G279400,GLYMA_09G111000,GLYMA_17G022300,GLYMA_18G297700,GLYMA_05G153300
GLYMA_03G233100,GLYMA_18G215000,GLYMA_02G186700,GLYMA_01G185700,GLYMA_06G056000,GLYMA_15G106600,GLYMA_03G220600
GLYMA_13G020100,GLYMA_09G034400,GLYMA_06G192400,GLYMA_17G061300,GLYMA_03G114200,GLYMA_09G073400,GLYMA_08G281300
GLYMA_13G237000,GLYMA_19G077300,GLYMA_02G212700,GLYMA_19G224300,GLYMA_04G015800,GLYMA_09G160000,GLYMA_10G186700
GLYMA_07G232800,GLYMA_11G059700,ENSRNA050003679,GLYMA_03G013400,GLYMA_11G091900,GLYMA_01G167700,GLYMA_13G325900
GLYMA_18G104400,GLYMA_17G034500,GLYMA_20G072400,GLYMA_11G202700,GLYMA_13G189400,GLYMA_19G221100,ENSRNA050003801
GLYMA_11G101600,GLYMA_13G119600,GLYMA_16G051500,GLYMA_05G047300,GLYMA_01G022100,GLYMA_02G301500,GLYMA_12G039500
GLYMA_11G220600,GLYMA_05G103600,GLYMA_03G141900,GLYMA_17G104800,GLYMA_08G094100,GLYMA_13G176300,GLYMA_20G099000
GLYMA_04G203300,GLYMA_13G025700,GLYMA_04G156300,GLYMA_18G037300,GLYMA_05G141800,ENSRNA050003342,GLYMA_06G028500
GLYMA_06G224300,GLYMA_06G018400,GLYMA_17G080200,GLYMA_04G187500,GLYMA_06G215400,GLYMA_05G232000,GLYMA_11G041800
GLYMA_01G174700,GLYMA_02G016000,GLYMA_U024900,GLYMA_18G283300,GLYMA_10G106100,GLYMA_05G005600,GLYMA_19G256000
GLYMA_13G099700,GLYMA_08G312200,GLYMA_12G002900,GLYMA_05G130200,GLYMA_02G230500,GLYMA_07G215400,GLYMA_04G202100
GLYMA_10G297900,GLYMA_20G198900,GLYMA_08G104800,GLYMA_08G318200,GLYMA_17G192200,GLYMA_19G149100,GLYMA_11G139600
GLYMA_09G248700,GLYMA_19G195100,GLYMA_10G067900,GLYMA_06G146700,GLYMA_20G056400,GLYMA_11G248100,GLYMA_09G273000
GLYMA_01G119500,GLYMA_06G145900,GLYMA_07G185500,GLYMA_06G167700,GLYMA_13G175100,GLYMA_18G247500,GLYMA_03G122000
GLYMA_19G026200,GLYMA_13G050200,GLYMA_15G083300,GLYMA_08G145200,GLYMA_04G093600,GLYMA_18G222200,GLYMA_06G173000
GLYMA_15G210300,GLYMA_03G042600,GLYMA_01G034900,GLYMA_12G193500,GLYMA_13G068400,GLYMA_07G149600,GLYMA_02G095200
GLYMA_08G318100,GLYMA_06G051100,GLYMA_07G207800,GLYMA_13G280600,GLYMA_18G016200,GLYMA_13G129700,GLYMA_20G121200
GLYMA_07G055500,GLYMA_02G072600,GLYMA_05G116300,GLYMA_17G089700,GLYMA_17G001900,GLYMA_13G125400,GLYMA_18G284500
GLYMA_17G061800,GLYMA_17G071200,GLYMA_07G270200,GLYMA_05G151200,GLYMA_07G089600,GLYMA_08G238300,GLYMA_13G121600
GLYMA_13G272000,GLYMA_13G279000,GLYMA_15G193400,GLYMA_18G040800,GLYMA_11G072300,GLYMA_04G165500,GLYMA_13G234500
GLYMA_12G058300,GLYMA_10G268000,GLYMA_12G227000,GLYMA_10G232400,GLYMA_19G253300,GLYMA_12G182600,GLYMA_13G017700
GLYMA_09G065000,GLYMA_07G187300,GLYMA_10G008700,GLYMA_11G094700,GLYMA_09G090300,GLYMA_11G078400,GLYMA_01G175600
GLYMA_14G095500,GLYMA_11G246700,GLYMA_15G094700,GLYMA_07G056500,GLYMA_15G016500,GLYMA_01G081900,GLYMA_19G231000
GLYMA_13G106800,GLYMA_11G098400,GLYMA_18G130900,GLYMA_10G173300,GLYMA_10G018400,GLYMA_01G233200,GLYMA_11G060600
GLYMA_03G160600,GLYMA_16G090000,GLYMA_20G192200,GLYMA_04G123900,GLYMA_15G098100,GLYMA_04G038400,GLYMA_18G023200
GLYMA_18G034400,GLYMA_07G135300,GLYMA_19G222400,GLYMA_11G115400,GLYMA_20G095300,GLYMA_19G107500,GLYMA_16G134900
GLYMA_01G131500,GLYMA_02G082100,GLYMA_11G188300,GLYMA_07G036100,GLYMA_04G029600,GLYMA_02G097400,GLYMA_19G226400
GLYMA_04G158600,GLYMA_11G250500,GLYMA_07G069000,GLYMA_20G190900,GLYMA_12G067000,GLYMA_08G329500,GLYMA_17G006300
GLYMA_03G262600,GLYMA_05G140400,GLYMA_05G195500,GLYMA_03G262800,GLYMA_14G025600,GLYMA_08G094700,GLYMA_08G091600
GLYMA_04G147700,GLYMA_06G092700,GLYMA_01G167500,GLYMA_09G234500,GLYMA_18G124800,GLYMA_11G059300,GLYMA_18G007700
GLYMA_09G234400,GLYMA_13G344500,GLYMA_11G141700,GLYMA_15G040000,GLYMA_13G267800,GLYMA_08G204900,GLYMA_19G130800
GLYMA_16G118400,GLYMA_14G012500,GLYMA_13G339200,GLYMA_15G075400,GLYMA_05G077100,GLYMA_15G003200,GLYMA_11G162200
GLYMA_09G267100,GLYMA_15G131900,GLYMA_19G050900,GLYMA_17G045400,GLYMA_12G025100,GLYMA_04G239300,GLYMA_02G120900
GLYMA_19G173400,GLYMA_19G084400,GLYMA_18G214500,GLYMA_05G219800,GLYMA_03G049600,GLYMA_03G260900,GLYMA_17G073800
GLYMA_15G045900,GLYMA_01G239000,GLYMA_13G298900,GLYMA_10G264200,GLYMA_08G260500,GLYMA_11G228100,GLYMA_02G019500
GLYMA_06G058500,GLYMA_03G078700,GLYMA_04G060000,GLYMA_11G247600,GLYMA_04G215800,GLYMA_15G143600,GLYMA_02G026800
GLYMA_18G297900,GLYMA_08G315300,GLYMA_20G165600,GLYMA_17G197700,GLYMA_07G014500,GLYMA_04G107900,GLYMA_20G247700
GLYMA_03G123600,GLYMA_11G256200,GLYMA_19G233600,GLYMA_18G139400,GLYMA_17G139500,GLYMA_14G036300,GLYMA_19G119300
GLYMA_06G324500,GLYMA_11G036200,GLYMA_16G114800,GLYMA_19G126800,GLYMA_19G092100,GLYMA_05G024500,GLYMA_11G184700
